,userId,date,window,desc,data,explanation,explain_id,Algorithm,mID,imdbClicked,rating
25,211,2020-04-20T12:28:56,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:122:0:5,,0,MF,122,0,5
18,212,2020-04-20T14:22:37,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:120:0:5,,0,AE,120,0,5
19,212,2020-04-20T14:22:37,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:119450:0:5,,0,popular,119450,0,5
20,212,2020-04-20T14:22:37,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:671:0:5,,0,AE,671,0,5
23,212,2020-04-20T14:22:52,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:109424:1:3,,0,popular,109424,1,3
24,212,2020-04-20T14:22:52,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:4951:0:1,,0,MF,4951,0,1
25,212,2020-04-20T14:22:52,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:1,,0,MF,9880,0,1
18,213,2020-04-20T15:28:54,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:767:0:5,,0,AE,767,0,5
19,213,2020-04-20T15:28:54,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:141:0:4,,0,popular,141,0,4
20,213,2020-04-20T15:28:54,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:673:0:5,,0,AE,673,0,5
23,213,2020-04-20T15:29:06,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:57158:0:2,,0,popular,57158,0,2
24,213,2020-04-20T15:29:06,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:76341:0:2,,0,MF,76341,0,2
25,213,2020-04-20T15:29:06,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:27205:0:3,,0,MF,27205,0,3
18,216,2020-04-20T18:36:32,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:14160:0:5,,0,popular,14160,0,5
19,216,2020-04-20T18:36:32,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:121:0:5,,0,AE,121,0,5
20,216,2020-04-20T18:36:32,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:671:0:5,,0,AE,671,0,5
23,216,2020-04-20T18:36:49,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:49026:0:5,,0,popular,49026,0,5
24,216,2020-04-20T18:36:49,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:381284:0:3,,0,MF,381284,0,3
25,216,2020-04-20T18:36:49,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:122:0:5,,0,MF,122,0,5
18,219,2020-04-20T18:44:00,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:13475:0:3,,0,popular,13475,0,3
19,219,2020-04-20T18:44:00,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:19995:0:4,,0,AE,19995,0,4
20,219,2020-04-20T18:44:00,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:27205:0:3,,0,AE,27205,0,3
23,219,2020-04-20T18:44:28,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:0:5,,0,MF,50619,0,5
24,219,2020-04-20T18:44:28,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:24021:0:3,,0,MF,24021,0,3
25,219,2020-04-20T18:44:28,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:12405:0:2,,0,popular,12405,0,2
18,220,2020-04-20T18:43:53,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:11036:0:5,,0,AE,11036,0,5
19,220,2020-04-20T18:43:53,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:38757:0:2,,0,popular,38757,0,2
20,220,2020-04-20T18:43:53,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:222935:0:5,,0,AE,222935,0,5
23,220,2020-04-20T18:44:14,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:10481:0:1,,0,MF,10481,0,1
24,220,2020-04-20T18:44:14,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:194662:0:1,,0,popular,194662,0,1
25,220,2020-04-20T18:44:14,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:1,,0,MF,9880,0,1
18,223,2020-04-20T18:47:06,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:155:0:4,,0,popular,155,0,4
19,223,2020-04-20T18:47:06,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:862:0:3,,0,AE,862,0,3
20,223,2020-04-20T18:47:06,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:27205:0:4,,0,AE,27205,0,4
23,223,2020-04-20T18:47:31,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:263115:0:5,,0,popular,263115,0,5
24,223,2020-04-20T18:47:31,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:0:1,,0,MF,50619,0,1
25,223,2020-04-20T18:47:31,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:200727:0:3,,0,MF,200727,0,3
18,224,2020-04-20T18:45:44,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:675:0:5,,0,AE,675,0,5
19,224,2020-04-20T18:45:44,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:98:0:1,,0,popular,98,0,1
20,224,2020-04-20T18:45:44,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:12444:0:5,,0,AE,12444,0,5
23,224,2020-04-20T18:46:05,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:0:3,,0,MF,50619,0,3
24,224,2020-04-20T18:46:05,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:11247:0:5,,0,MF,11247,0,5
25,224,2020-04-20T18:46:05,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:73:0:3,,0,popular,73,0,3
18,225,2020-04-20T18:53:21,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:550:0:5,,0,AE,550,0,5
19,225,2020-04-20T18:53:21,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:259316:0:5,,0,popular,259316,0,5
20,225,2020-04-20T18:53:21,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:155:0:5,,0,AE,155,0,5
23,225,2020-04-20T18:53:41,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:1:5,,0,MF,50619,1,5
24,225,2020-04-20T18:53:41,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:24021:0:5,,0,MF,24021,0,5
25,225,2020-04-20T18:53:41,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:629:0:5,,0,popular,629,0,5
20,226,2020-04-20T19:01:54,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:6557:0:5,,0,AE,6557,0,5
21,226,2020-04-20T19:01:54,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:296096:0:2,,0,popular,296096,0,2
22,226,2020-04-20T19:01:54,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:10096:0:5,,0,AE,10096,0,5
25,226,2020-04-20T19:02:08,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:10481:0:3,,0,MF,10481,0,3
26,226,2020-04-20T19:02:08,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:168259:0:3,,0,popular,168259,0,3
27,226,2020-04-20T19:02:08,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:5,,0,MF,9880,0,5
18,228,2020-04-20T19:11:43,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:674:0:5,,0,AE,674,0,5
19,228,2020-04-20T19:11:43,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:76203:0:4,,0,popular,76203,0,4
20,228,2020-04-20T19:11:43,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:671:0:5,,0,AE,671,0,5
24,228,2020-04-20T19:12:01,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:10761:0:2,,0,MF,10761,0,2
25,228,2020-04-20T19:12:01,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:949:0:1,,0,popular,949,0,1
26,228,2020-04-20T19:12:01,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:10735:0:1,,0,MF,10735,0,1
18,229,2020-04-20T19:11:42,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:675:0:5,,0,AE,675,0,5
19,229,2020-04-20T19:11:42,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:296096:0:4,,0,popular,296096,0,4
20,229,2020-04-20T19:11:42,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:671:0:5,,0,AE,671,0,5
23,229,2020-04-20T19:11:56,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:112949:0:4,,0,MF,112949,0,4
24,229,2020-04-20T19:11:56,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:0:5,,0,MF,50619,0,5
25,229,2020-04-20T19:11:56,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:324786:0:5,,0,popular,324786,0,5
18,230,2020-04-20T19:14:07,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:6557:0:3,,0,AE,6557,0,3
19,230,2020-04-20T19:14:07,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:4951:0:4,,0,AE,4951,0,4
20,230,2020-04-20T19:14:07,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:857:0:2,,0,popular,857,0,2
23,230,2020-04-20T19:14:23,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:77:0:3,,0,popular,77,0,3
24,230,2020-04-20T19:14:23,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:4,,0,MF,9880,0,4
25,230,2020-04-20T19:14:23,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:10481:0:4,,0,MF,10481,0,4
18,232,2020-04-20T19:18:15,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:603:0:2,,0,AE,603,0,2
19,232,2020-04-20T19:18:15,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:597:0:5,,0,AE,597,0,5
20,232,2020-04-20T19:18:15,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:13223:0:3,,0,popular,13223,0,3
23,232,2020-04-20T19:18:33,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:38:0:2,,0,MF,38,0,2
24,232,2020-04-20T19:18:33,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:550:0:4,,0,MF,550,0,4
25,232,2020-04-20T19:18:33,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:73:0:5,,0,popular,73,0,5
18,233,2020-04-20T19:17:52,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:271110:0:4,,0,popular,271110,0,4
19,233,2020-04-20T19:17:52,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:674:0:4,,0,AE,674,0,4
20,233,2020-04-20T19:17:52,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:12444:0:4,,0,AE,12444,0,4
23,233,2020-04-20T19:18:02,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:329865:0:5,,0,MF,329865,0,5
24,233,2020-04-20T19:18:02,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:293660:0:5,,0,MF,293660,0,5
25,233,2020-04-20T19:18:02,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:14160:0:2,,0,popular,14160,0,2
18,234,2020-04-20T19:17:55,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:550:0:1,,0,AE,550,0,1
19,234,2020-04-20T19:17:55,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:64690:0:2,,0,popular,64690,0,2
20,234,2020-04-20T19:17:55,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:2018:0:5,,0,AE,2018,0,5
23,234,2020-04-20T19:18:06,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:6977:0:2,,0,popular,6977,0,2
24,234,2020-04-20T19:18:06,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:6557:0:5,,0,MF,6557,0,5
25,234,2020-04-20T19:18:06,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:5,,0,MF,9880,0,5
18,235,2020-04-20T19:21:26,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:264644:0:5,,0,popular,264644,0,5
19,235,2020-04-20T19:21:26,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:68718:0:5,,0,AE,68718,0,5
20,235,2020-04-20T19:21:26,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:550:0:5,,0,AE,550,0,5
23,235,2020-04-20T19:21:45,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:31011:0:5,,0,popular,31011,0,5
24,235,2020-04-20T19:21:45,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:27205:0:5,,0,MF,27205,0,5
25,235,2020-04-20T19:21:45,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:122:0:5,,0,MF,122,0,5
18,238,2020-04-20T19:25:14,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:150540:0:3,,0,AE,150540,0,3
19,238,2020-04-20T19:25:14,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:269149:0:4,,0,AE,269149,0,4
20,238,2020-04-20T19:25:14,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:673:0:4,,0,popular,673,0,4
23,238,2020-04-20T19:25:27,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:4951:0:4,,0,MF,4951,0,4
24,238,2020-04-20T19:25:27,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:752:0:2,,0,popular,752,0,2
25,238,2020-04-20T19:25:27,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:5,,0,MF,9880,0,5
18,239,2020-04-20T19:28:37,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:272:0:1,,0,popular,272,0,1
19,239,2020-04-20T19:28:37,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:634:0:4,,0,AE,634,0,4
20,239,2020-04-20T19:28:37,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:509:0:5,,0,AE,509,0,5
23,239,2020-04-20T19:28:44,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:8835:0:5,,0,MF,8835,0,5
24,239,2020-04-20T19:28:44,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:5,,0,MF,9880,0,5
25,239,2020-04-20T19:28:44,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:138843:0:1,,0,popular,138843,0,1
18,251,2020-04-20T20:16:41,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:2062:0:2,,0,popular,2062,0,2
19,251,2020-04-20T20:16:41,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:603:0:1,,0,AE,603,0,1
20,251,2020-04-20T20:16:41,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:14:0:3,,0,AE,14,0,3
23,251,2020-04-20T20:17:14,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:550:0:2,,0,MF,550,0,2
24,251,2020-04-20T20:17:14,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:38:0:2,,0,MF,38,0,2
25,251,2020-04-20T20:17:14,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:228150:0:2,,0,popular,228150,0,2
18,252,2020-04-20T20:32:01,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:550:0:4,,0,popular,550,0,4
19,252,2020-04-20T20:32:01,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:64688:0:4,,0,AE,64688,0,4
20,252,2020-04-20T20:32:01,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:293660:0:2,,0,AE,293660,0,2
23,252,2020-04-20T20:32:18,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:6557:0:4,,0,MF,6557,0,4
24,252,2020-04-20T20:32:18,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:210577:0:4,,0,popular,210577,0,4
25,252,2020-04-20T20:32:18,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:4,,0,MF,9880,0,4
18,258,2020-04-20T21:05:10,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:602:1:5,,0,AE,602,1,5
19,258,2020-04-20T21:05:10,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:603:0:3,,0,AE,603,0,3
20,258,2020-04-20T21:05:10,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:324786:1:5,,0,popular,324786,1,5
23,258,2020-04-20T21:05:29,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9714:0:5,,0,MF,9714,0,5
24,258,2020-04-20T21:05:29,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:293660:0:4,,0,popular,293660,0,4
25,258,2020-04-20T21:05:29,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:4951:0:4,,0,MF,4951,0,4
18,261,2020-04-20T21:19:21,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:330459:1:3,,0,popular,330459,1,3
19,261,2020-04-20T21:19:21,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:671:0:5,,0,AE,671,0,5
20,261,2020-04-20T21:19:21,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:673:0:5,,0,AE,673,0,5
23,261,2020-04-20T21:19:57,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:24021:0:5,,0,MF,24021,0,5
24,261,2020-04-20T21:19:57,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:423:1:1,,0,popular,423,1,1
25,261,2020-04-20T21:19:57,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:0:5,,0,MF,50619,0,5
19,262,2020-04-20T21:19:01,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:19995:0:3,,0,popular,19995,0,3
20,262,2020-04-20T21:19:01,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:12445:1:5,,0,AE,12445,1,5
21,262,2020-04-20T21:19:01,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:672:0:5,,0,AE,672,0,5
24,262,2020-04-20T21:26:23,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:1:4,,0,MF,50619,1,4
25,262,2020-04-20T21:26:23,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:112949:1:3,,0,MF,112949,1,3
26,262,2020-04-20T21:26:23,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:137113:1:3,,0,popular,137113,1,3
18,263,2020-04-20T21:19:38,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:807:0:1,,0,popular,807,0,1
19,263,2020-04-20T21:19:38,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:121:0:5,,0,AE,121,0,5
20,263,2020-04-20T21:19:38,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:671:0:5,,0,AE,671,0,5
23,263,2020-04-20T21:19:57,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:641:0:1,,0,popular,641,0,1
24,263,2020-04-20T21:19:57,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:50619:0:5,,0,MF,50619,0,5
25,263,2020-04-20T21:19:57,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:11247:0:3,,0,MF,11247,0,3
18,266,2020-04-20T22:03:16,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:672:0:4,,0,AE,672,0,4
19,266,2020-04-20T22:03:16,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:273248:0:1,,0,popular,273248,0,1
20,266,2020-04-20T22:03:16,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:674:0:4,,0,AE,674,0,4
23,266,2020-04-20T22:03:33,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:11529:0:4,,0,MF,11529,0,4
24,266,2020-04-20T22:03:33,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:264644:0:4,,0,popular,264644,0,4
25,266,2020-04-20T22:03:33,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:10735:0:1,,0,MF,10735,0,1
18,267,2020-04-20T22:01:48,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:807:0:1,,0,popular,807,0,1
19,267,2020-04-20T22:01:48,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:1824:0:2,,0,AE,1824,0,2
20,267,2020-04-20T22:01:48,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:10096:0:2,,0,AE,10096,0,2
23,267,2020-04-20T22:02:00,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:10735:0:5,,0,MF,10735,0,5
24,267,2020-04-20T22:02:00,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:949:0:1,,0,popular,949,0,1
25,267,2020-04-20T22:02:00,no_explanation, [Algorithm:mid:imdbClicked:rated],MF:9880:0:5,,0,MF,9880,0,5
18,275,2020-04-20T22:19:46,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:550:0:3,,0,AE,550,0,3
19,275,2020-04-20T22:19:46,no_explanation, [Algorithm:mid:imdbClicked:rated],popular:38757:0:2,,0,popular,38757,0,2
20,275,2020-04-20T22:19:46,no_explanation, [Algorithm:mid:imdbClicked:rated],AE:155:0:3,,0,AE,155,0,3
