,userId,date,window,desc,data,explanation,Algorithm,mID,explain_id,imdbClicked,explain_rate
60,204,2020-04-19T20:33:34,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:271110:3:1:5,, AE,271110,3,1,5
61,204,2020-04-19T20:33:34,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:271110:4:1:5,, AE,271110,4,1,5
62,204,2020-04-19T20:33:34,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:271110:6:1:4,, AE,271110,6,1,4
63,204,2020-04-19T20:33:34,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:271110:5:1:4,, AE,271110,5,1,4
64,204,2020-04-19T20:33:34,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:271110:2:1:5,, AE,271110,2,1,5
65,204,2020-04-19T20:33:34,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:271110:7:1:2,, AE,271110,7,1,2
68,204,2020-04-19T20:33:52,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:1:1:3,, AE,118340,1,1,3
69,204,2020-04-19T20:33:52,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:7:1:2,, AE,118340,7,1,2
70,204,2020-04-19T20:33:52,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:6:1:4,, AE,118340,6,1,4
71,204,2020-04-19T20:33:52,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:118340:5:1:5,, AE,118340,5,1,5
74,204,2020-04-19T20:34:14,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:99861:3:1:5,, AE,99861,3,1,5
75,204,2020-04-19T20:34:14,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:99861:6:1:5,, AE,99861,6,1,5
76,204,2020-04-19T20:34:14,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:99861:2:1:5,, AE,99861,2,1,5
77,204,2020-04-19T20:34:14,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:99861:7:1:2,, AE,99861,7,1,2
78,204,2020-04-19T20:34:14,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:99861:5:1:4,, AE,99861,5,1,4
79,204,2020-04-19T20:34:14,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:99861:4:1:4,, AE,99861,4,1,4
84,204,2020-04-19T20:34:47,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:27205:5:0:4,, MF,27205,5,0,4
85,204,2020-04-19T20:34:47,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:27205:7:0:2,, MF,27205,7,0,2
86,204,2020-04-19T20:34:47,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:27205:6:0:4,, MF,27205,6,0,4
87,204,2020-04-19T20:34:47,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:27205:1:0:2,, MF,27205,1,0,2
88,204,2020-04-19T20:34:47,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:27205:2:0:2,, MF,27205,2,0,2
58,205,2020-04-19T21:04:58,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:1824:7:0:5,Our system predicts that this movie is a good match for you., AE,1824,7,0,5
59,205,2020-04-19T21:04:58,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:1824:6:0:3,30% of the users who liked the same movies that you liked, AE,1824,6,0,3
61,205,2020-04-19T21:05:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10625:6:0:2,14% of the users who liked the same movies that you liked, AE,10625,6,0,2
62,205,2020-04-19T21:05:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10625:2:0:4,"This movie is similar to ""The Notebook""- a movie that you liked. Both feature Rachel McAdams as an actor.", AE,10625,2,0,4
63,205,2020-04-19T21:05:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10625:7:0:2,Our system predicts that this movie is a good match for you., AE,10625,7,0,2
65,205,2020-04-19T21:05:10,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:19913:2:0:4,"This movie is similar to ""10 Things I Hate About You""- a movie that you liked. Both feature Joseph Gordon-Levitt as an actor. Both are of the genre comedy.", AE,19913,2,0,4
66,205,2020-04-19T21:05:10,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:19913:6:0:2,36% of the users who liked the same movies that you liked, AE,19913,6,0,2
67,205,2020-04-19T21:05:10,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:19913:7:0:4,Our system predicts that this movie is a good match for you., AE,19913,7,0,4
69,205,2020-04-19T21:05:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:7:0:5,Our system predicts that this movie is a good match for you., MF,24021,7,0,5
70,205,2020-04-19T21:05:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:4:0:5,"This movie has a similar description to ""The Twilight Saga: Breaking Dawn - Part 1"" - a movie that you liked", MF,24021,4,0,5
71,205,2020-04-19T21:05:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:5:0:5,"You liked ""The Twilight Saga: Breaking Dawn - Part 1"". Other users who liked The Twilight Saga: Breaking Dawn - Part 1", MF,24021,5,0,5
72,205,2020-04-19T21:05:15,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:2:0:5,"This movie is similar to ""The Twilight Saga: Breaking Dawn - Part 1""- a movie that you liked. Both feature Robert Pattinson", MF,24021,2,0,5
74,205,2020-04-19T21:05:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:9655:7:0:4,Our system predicts that this movie is a good match for you., MF,9655,7,0,4
75,205,2020-04-19T21:05:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:9655:2:0:2,"This movie is similar to ""What a Girl Wants""- a movie that you liked. Both feature Amanda Bynes as an actor.", MF,9655,2,0,2
76,205,2020-04-19T21:05:22,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:9655:6:0:3,14% of the users who liked the same movies that you liked, MF,9655,6,0,3
78,205,2020-04-19T21:05:27,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:11247:6:0:5,12% of the users who liked the same movies that you liked, MF,11247,6,0,5
79,205,2020-04-19T21:05:27,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:11247:7:0:5,Our system predicts that this movie is a good match for you., MF,11247,7,0,5
59,206,2020-04-20T08:17:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:106646:3:0:5,Jonah Hill plays in this movie, AE,106646,3,0,5
60,206,2020-04-20T08:17:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:106646:1:0:3,This movie is very popular, AE,106646,1,0,3
61,206,2020-04-20T08:17:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:106646:5:0:5,"You liked ""Mad Max: Fury Road"". Other users who liked Mad Max: Fury Road", AE,106646,5,0,5
62,206,2020-04-20T08:17:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:106646:7:0:3,Our system predicts that this movie is a good match for you., AE,106646,7,0,3
63,206,2020-04-20T08:17:03,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:106646:2:0:5,"This movie is similar to ""22 Jump Street""- a movie that you liked. Both feature Jonah Hill as an actor. Both are of the genre crime.", AE,106646,2,0,5
65,206,2020-04-20T08:17:28,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:27205:5:0:5,"You liked ""The Dark Knight"". Other users who liked The Dark Knight", AE,27205,5,0,5
66,206,2020-04-20T08:17:28,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:27205:1:0:3,This movie is very popular, AE,27205,1,0,3
67,206,2020-04-20T08:17:28,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:27205:7:0:3,Our system predicts that this movie is a good match for you., AE,27205,7,0,3
68,206,2020-04-20T08:17:28,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:27205:2:0:4,"This movie is similar to ""Mad Max: Fury Road""- a movie that you liked. Both feature Tom Hardy as an actor. Both are of the genre action.", AE,27205,2,0,4
70,206,2020-04-20T08:17:53,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:121:1:0:2,This movie is very popular, MF,121,1,0,2
71,206,2020-04-20T08:17:53,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:121:5:0:5,"You liked ""Pirates of the Caribbean: The Curse of the Black Pearl"". Other users who liked Pirates of the Caribbean: The Curse of the Black Pearl", MF,121,5,0,5
72,206,2020-04-20T08:17:53,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:121:7:0:3,Our system predicts that this movie is a good match for you., MF,121,7,0,3
73,206,2020-04-20T08:17:53,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:121:2:0:5,"This movie is similar to ""Pirates of the Caribbean: The Curse of the Black Pearl""- a movie that you liked. Both feature Orlando Bloom as an actor. Both are of the genres fantasy and adventure.", MF,121,2,0,5
75,206,2020-04-20T08:18:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:120:7:0:3,Our system predicts that this movie is a good match for you., MF,120,7,0,3
76,206,2020-04-20T08:18:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:120:2:0:5,"This movie is similar to ""Pirates of the Caribbean: The Curse of the Black Pearl""- a movie that you liked. Both feature Orlando Bloom as an actor. Both are of the genres fantasy and adventure.", MF,120,2,0,5
77,206,2020-04-20T08:18:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:120:5:0:5,"You liked ""The Matrix"". Other users who liked The Matrix", MF,120,5,0,5
78,206,2020-04-20T08:18:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:120:1:0:3,This movie is very popular, MF,120,1,0,3
80,206,2020-04-20T08:18:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:122:6:0:5,20% of the users who liked the same movies that you liked, MF,122,6,0,5
81,206,2020-04-20T08:18:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:122:1:0:3,This movie is very popular, MF,122,1,0,3
82,206,2020-04-20T08:18:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:122:5:0:5,"You liked ""Pirates of the Caribbean: The Curse of the Black Pearl"". Other users who liked Pirates of the Caribbean: The Curse of the Black Pearl", MF,122,5,0,5
83,206,2020-04-20T08:18:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:122:2:0:5,"This movie is similar to ""Pirates of the Caribbean: The Curse of the Black Pearl""- a movie that you liked. Both feature Orlando Bloom as an actor. Both are of the genres fantasy and adventure.", MF,122,2,0,5
84,206,2020-04-20T08:18:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:122:7:0:3,Our system predicts that this movie is a good match for you., MF,122,7,0,3
58,207,2020-04-20T08:25:21,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10096:2:0:5,"This movie is similar to ""27 Dresses""- a movie that you liked. Both feature Judy Greer as an actor. Both are of the genre comedy.", AE,10096,2,0,5
59,207,2020-04-20T08:25:21,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10096:6:0:5,20% of the users who liked the same movies that you liked, AE,10096,6,0,5
60,207,2020-04-20T08:25:21,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10096:7:0:5,Our system predicts that this movie is a good match for you., AE,10096,7,0,5
62,207,2020-04-20T08:26:11,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:767:6:0:5,14% of the users who liked the same movies that you liked, AE,767,6,0,5
63,207,2020-04-20T08:26:11,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:767:4:0:3,"This movie has a similar description to ""Harry Potter and the Goblet of Fire"" - a movie that you liked", AE,767,4,0,3
64,207,2020-04-20T08:26:11,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:767:7:0:5,Our system predicts that this movie is a good match for you., AE,767,7,0,5
65,207,2020-04-20T08:26:11,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:767:5:0:5,"You liked ""Harry Potter and the Goblet of Fire"". Other users who liked Harry Potter and the Goblet of Fire", AE,767,5,0,5
66,207,2020-04-20T08:26:11,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:767:2:0:3,"This movie is similar to ""Harry Potter and the Goblet of Fire""- a movie that you liked. Both feature Emma Watson", AE,767,2,0,3
68,207,2020-04-20T08:26:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:12444:5:0:5,"You liked ""Harry Potter and the Goblet of Fire"". Other users who liked Harry Potter and the Goblet of Fire", AE,12444,5,0,5
69,207,2020-04-20T08:26:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:12444:2:0:3,"This movie is similar to ""Harry Potter and the Goblet of Fire""- a movie that you liked. Both feature Ralph Fiennes", AE,12444,2,0,3
70,207,2020-04-20T08:26:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:12444:7:0:5,Our system predicts that this movie is a good match for you., AE,12444,7,0,5
71,207,2020-04-20T08:26:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:12444:4:0:3,"This movie has a similar description to ""Harry Potter and the Goblet of Fire"" - a movie that you liked", AE,12444,4,0,3
73,207,2020-04-20T08:27:05,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:2:0:3,"This movie is similar to ""The Twilight Saga: Breaking Dawn - Part 1""- a movie that you liked. Both feature Robert Pattinson", MF,24021,2,0,3
74,207,2020-04-20T08:27:05,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:7:0:5,Our system predicts that this movie is a good match for you., MF,24021,7,0,5
75,207,2020-04-20T08:27:05,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:5:0:5,"You liked ""The Twilight Saga: Breaking Dawn - Part 1"". Other users who liked The Twilight Saga: Breaking Dawn - Part 1", MF,24021,5,0,5
76,207,2020-04-20T08:27:05,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:24021:4:0:3,"This movie has a similar description to ""The Twilight Saga: Breaking Dawn - Part 1"" - a movie that you liked", MF,24021,4,0,3
78,207,2020-04-20T08:27:25,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:112949:7:1:5,Our system predicts that this movie is a good match for you., MF,112949,7,1,5
80,207,2020-04-20T08:27:33,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:20048:7:0:5,Our system predicts that this movie is a good match for you., MF,20048,7,0,5
59,208,2020-04-20T09:32:12,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10681:5:0:1,"You liked ""The Dark Knight"". Other users who liked The Dark Knight", AE,10681,5,0,1
60,208,2020-04-20T09:32:12,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:10681:7:0:4,Our system predicts that this movie is a good match for you., AE,10681,7,0,4
62,208,2020-04-20T09:33:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:489:4:0:1,"This movie has a similar description to ""21"" - a movie that you liked", AE,489,4,0,1
63,208,2020-04-20T09:33:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:489:7:0:5,Our system predicts that this movie is a good match for you., AE,489,7,0,5
64,208,2020-04-20T09:33:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:489:5:0:1,"You liked ""Fight Club"". Other users who liked Fight Club", AE,489,5,0,1
58,209,2020-04-20T10:42:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:157336:2:0:1,"This movie is similar to ""The Dark Knight""- a movie that you liked. Both feature Michael Caine as an actor. Both are of the genre drama. Both have the same director Christopher Nolan.", AE,157336,2,0,1
59,209,2020-04-20T10:42:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:157336:1:0:3,This movie is very popular, AE,157336,1,0,3
60,209,2020-04-20T10:42:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:157336:5:0:1,"You liked ""Inception"". Other users who liked Inception", AE,157336,5,0,1
61,209,2020-04-20T10:42:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:157336:7:0:5,Our system predicts that this movie is a good match for you., AE,157336,7,0,5
62,209,2020-04-20T10:42:16,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:157336:4:0:2,"This movie has a similar description to ""The Matrix"" - a movie that you liked", AE,157336,4,0,2
65,209,2020-04-20T10:42:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:857:7:0:5,Our system predicts that this movie is a good match for you., AE,857,7,0,5
66,209,2020-04-20T10:42:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:857:2:0:4,"This movie is similar to ""Black Hawk Down""- a movie that you liked. Both feature Tom Sizemore as an actor. Both are of the genre history.", AE,857,2,0,4
67,209,2020-04-20T10:42:38,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:857:5:0:1,"You liked ""The Matrix"". Other users who liked The Matrix", AE,857,5,0,1
71,209,2020-04-20T10:42:56,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:752:2:0:1,"This movie is similar to ""The Matrix""- a movie that you liked. Both feature Hugo Weaving as an actor. Both are of the genre action.", MF,752,2,0,1
72,209,2020-04-20T10:42:56,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:752:7:0:5,Our system predicts that this movie is a good match for you., MF,752,7,0,5
73,209,2020-04-20T10:42:56,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:752:5:0:3,"You liked ""The Dark Knight"". Other users who liked The Dark Knight", MF,752,5,0,3
58,211,2020-04-20T12:30:44,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:489:2:0:1,"This movie is similar to ""Saving Private Ryan""- a movie that you liked. Both feature Matt Damon as an actor. Both are of the genre drama.", AE,489,2,0,1
59,211,2020-04-20T12:30:44,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:489:3:0:1,Matt Damon plays in this movie, AE,489,3,0,1
60,211,2020-04-20T12:30:44,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:489:5:0:3,"You liked ""Saving Private Ryan"". Other users who liked Saving Private Ryan", AE,489,5,0,3
61,211,2020-04-20T12:30:44,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:489:7:0:4,Our system predicts that this movie is a good match for you., AE,489,7,0,4
64,211,2020-04-20T12:31:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:98:2:0:3,"This movie is similar to ""A Beautiful Mind""- a movie that you liked. Both feature Russell Crowe as an actor. Both are of the genre drama.", AE,98,2,0,3
65,211,2020-04-20T12:31:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:98:7:0:4,Our system predicts that this movie is a good match for you., AE,98,7,0,4
66,211,2020-04-20T12:31:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:98:1:0:4,This movie is very popular, AE,98,1,0,4
67,211,2020-04-20T12:31:07,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:98:5:0:5,"You liked ""The Lord of the Rings: The Fellowship of the Ring"". Other users who liked The Lord of the Rings: The Fellowship of the Ring", AE,98,5,0,5
69,211,2020-04-20T12:31:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:7345:7:0:4,Our system predicts that this movie is a good match for you., MF,7345,7,0,4
71,211,2020-04-20T12:31:45,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:752:7:0:4,Our system predicts that this movie is a good match for you., MF,752,7,0,4
72,211,2020-04-20T12:31:45,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:752:2:0:2,"This movie is similar to ""The Matrix""- a movie that you liked. Both feature Hugo Weaving as an actor. Both are of the genre action.", MF,752,2,0,2
73,211,2020-04-20T12:31:45,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:752:5:0:4,"You liked ""The Departed"". Other users who liked The Departed", MF,752,5,0,4
75,211,2020-04-20T12:32:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:5:0:1,"You liked ""The Matrix"". Other users who liked The Matrix", MF,550,5,0,1
76,211,2020-04-20T12:32:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:1:0:3,This movie is very popular, MF,550,1,0,3
77,211,2020-04-20T12:32:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:7:0:4,Our system predicts that this movie is a good match for you., MF,550,7,0,4
78,211,2020-04-20T12:32:02,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], MF:550:6:0:2,16% of the users who liked the same movies that you liked, MF,550,6,0,2
58,212,2020-04-20T14:24:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:673:4:0:3,"This movie has a similar description to ""Harry Potter and the Chamber of Secrets"" - a movie that you liked", AE,673,4,0,3
59,212,2020-04-20T14:24:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:673:7:0:1,Our system predicts that this movie is a good match for you., AE,673,7,0,1
60,212,2020-04-20T14:24:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:673:3:0:5,Both Rupert Grint, AE,673,3,0,5
61,212,2020-04-20T14:24:32,all_explanations, [Algorithm:mID:explain_id:imdbClicked:explain_rate], AE:673:5:0:5,"You liked ""Harry Potter and the Chamber of Secrets"". Other users who liked Harry Potter and the Chamber of Secrets", AE,673,5,0,5
